docker compose -f docker-compose-dev.yaml logs -f
accepter                                   | 2023-05-10 22:49:52 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915649a0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
accepter                                   | 2023-05-10 22:49:52 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915649a0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
accepter                                   | 2023-05-10 22:49:52 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915649a0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
accepter                                   | 2023-05-10 22:49:52 INFO     Created channel=1
accepter                                   | 2023-05-10 22:49:52 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
accepter                                   | 2023-05-10 22:49:52 INFO     Socket connected: <socket.socket fd=11, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.12', 50342), raddr=('172.25.125.2', 5672)>
accepter                                   | 2023-05-10 22:49:52 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915630d0>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915630d0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
accepter                                   | 2023-05-10 22:49:52 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915630d0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
accepter                                   | 2023-05-10 22:49:52 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915630d0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
accepter                                   | 2023-05-10 22:49:52 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915630d0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
accepter                                   | 2023-05-10 22:49:52 INFO     Created channel=1
accepter                                   | 2023-05-10 22:49:52 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
accepter                                   | 2023-05-10 22:49:52 INFO     Socket connected: <socket.socket fd=15, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.12', 50346), raddr=('172.25.125.2', 5672)>
accepter                                   | 2023-05-10 22:49:52 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915bba00>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915bba00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
accepter                                   | 2023-05-10 22:49:52 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915bba00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
accepter                                   | 2023-05-10 22:49:52 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915bba00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
accepter                                   | 2023-05-10 22:49:52 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915bba00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
accepter                                   | 2023-05-10 22:49:52 INFO     Created channel=1
accepter                                   | 2023-05-10 22:49:52 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
accepter                                   | 2023-05-10 22:49:52 INFO     Socket connected: <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.12', 50356), raddr=('172.25.125.2', 5672)>
accepter                                   | 2023-05-10 22:49:52 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915bd100>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915bd100> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
